time,user,event,ip
2026-08-19 09:00:00,alice,login_success,10.0.0.10
2026-08-19 09:01:00,admin,login_failed,211.45.12.9
2026-08-19 09:01:08,admin,login_failed,211.45.12.9
2026-08-19 09:01:16,admin,login_failed,211.45.12.9
2026-08-19 09:01:24,admin,login_failed,211.45.12.9
2026-08-19 09:01:31,admin,login_failed,211.45.12.9
2026-08-19 09:01:45,admin,login_failed,211.45.12.9
2026-08-19 09:02:10,admin,login_success,211.45.12.9
2026-08-19 09:04:00,bob,login_failed,58.12.33.8
2026-08-19 09:04:20,charlie,login_failed,58.12.33.8
2026-08-19 09:04:40,david,login_failed,58.12.33.8
2026-08-19 09:05:00,bob,login_failed,58.12.33.8
2026-08-19 09:05:20,charlie,login_failed,58.12.33.8
2026-08-19 09:05:40,david,login_failed,58.12.33.8
2026-08-19 09:08:00,eve,login_failed,120.1.1.1
2026-08-19 09:08:20,eve,login_failed,120.1.1.2
2026-08-19 09:08:40,eve,login_failed,120.1.1.3
2026-08-19 09:10:00,alice,logout,10.0.0.10
broken,line,here
2026-08-19 09:11:00,frank,unknown_event,10.0.0.20
